Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,Genotype,Developmental_stage,sex,Development_stage,sex_type,tissue,Cell_Line,stage,chip_antibody,Library Name,chip_antibody_supplier,transgene,antibody_manufacturer,input_experiment/sample
SRR1198590,ChIP-Seq,42,580000554,PRJNA63455,SAMN02338677,746742552,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495058,GSM1217478,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217478,seq-SDQ4496_DPY26_N2_Mxemb_Input_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198591,ChIP-Seq,42,545779206,PRJNA63455,SAMN02338681,389944487,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495059,GSM1217479,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217479,seq-SDQ4496_DPY26_N2_Mxemb_ChIP_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198592,ChIP-Seq,42,801215604,PRJNA63455,SAMN02338657,949058743,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495060,GSM1217480,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217480,seq-SDQ4496_DPY26_N2_Mxemb_ChIP_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198597,ChIP-Seq,42,674010876,PRJNA63455,SAMN02338673,809176556,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495065,GSM1217485,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217485,seq-SDQ0802_REC8_fem2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198598,ChIP-Seq,42,450575454,PRJNA63455,SAMN02338653,549926249,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495066,GSM1217486,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217486,seq-SDQ0802_REC8_fem2_AD_Input_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198599,ChIP-Seq,42,680124102,PRJNA63455,SAMN02338668,812250580,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495067,GSM1217487,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217487,seq-SDQ0802_REC8_fem2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198600,ChIP-Seq,42,585209184,PRJNA63455,SAMN02338671,716213644,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495068,GSM1217488,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217488,seq-SDQ0802_REC8_fem2_AD_ChIP_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198601,ChIP-Seq,42,674010876,PRJNA63455,SAMN02338650,809176794,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495069,GSM1217489,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217489,seq-SDQ3914_REC8_fem2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198602,ChIP-Seq,50,2397530750,PRJNA63455,SAMN02338669,1650956865,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495070,GSM1217490,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217490,seq-SDQ3914_REC8_fem2_AD_Input_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198603,ChIP-Seq,42,544599678,PRJNA63455,SAMN02338662,655015970,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495071,GSM1217491,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217491,seq-SDQ3914_REC8_fem2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198604,ChIP-Seq,50,1130571300,PRJNA63455,SAMN02338648,711152129,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495072,GSM1217492,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217492,seq-SDQ3914_REC8_fem2_AD_ChIP_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198605,ChIP-Seq,42,560214690,PRJNA63455,SAMN02338666,407019612,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495073,GSM1217493,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217493,seq-SDQ4561_DPY26_N2_Mxemb_Input_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198606,ChIP-Seq,42,580000554,PRJNA63455,SAMN02338659,746741667,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495074,GSM1217494,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217494,seq-SDQ4561_DPY26_N2_Mxemb_Input_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198607,ChIP-Seq,42,536036130,PRJNA63455,SAMN02338643,382378395,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495075,GSM1217495,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217495,seq-SDQ4561_DPY26_N2_Mxemb_ChIP_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198608,ChIP-Seq,42,795060756,PRJNA63455,SAMN02338663,951147826,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495076,GSM1217496,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217496,seq-SDQ4561_DPY26_N2_Mxemb_ChIP_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198609,ChIP-Seq,42,674010876,PRJNA63455,SAMN02338656,809176458,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495077,GSM1217497,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217497,seq-SDQ0809_COH1_fem2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198610,ChIP-Seq,50,2397530750,PRJNA63455,SAMN02338640,1650956865,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495078,GSM1217498,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217498,seq-SDQ0809_COH1_fem2_AD_Input_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198611,ChIP-Seq,42,604058028,PRJNA63455,SAMN02338661,719887226,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495079,GSM1217499,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217499,seq-SDQ0809_COH1_fem2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198612,ChIP-Seq,50,659090350,PRJNA63455,SAMN02338516,414275864,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495080,GSM1217500,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217500,seq-SDQ0809_COH1_fem2_AD_ChIP_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198613,ChIP-Seq,42,423163398,PRJNA63455,SAMN02338517,267882206,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495081,GSM1217501,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217501,seq-SDQ4562_SMC6_N2_Mxemb_Input_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198614,ChIP-Seq,42,791902188,PRJNA63455,SAMN02338520,499796264,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495082,GSM1217502,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217502,seq-SDQ4562_SMC6_N2_Mxemb_Input_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198615,ChIP-Seq,42,304807650,PRJNA63455,SAMN02338518,173451411,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495083,GSM1217503,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217503,seq-SDQ4562_SMC6_N2_Mxemb_ChIP_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198616,ChIP-Seq,42,555518166,PRJNA63455,SAMN02338522,340332209,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495084,GSM1217504,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217504,seq-SDQ4562_SMC6_N2_Mxemb_ChIP_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198617,ChIP-Seq,42,423163398,PRJNA63455,SAMN02338524,267882206,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495085,GSM1217505,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217505,seq-SDQ4564_DPY28_N2_Mxemb_Input_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198618,ChIP-Seq,42,791902188,PRJNA63455,SAMN02338519,499796264,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495086,GSM1217506,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217506,seq-SDQ4564_DPY28_N2_Mxemb_Input_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198619,ChIP-Seq,42,402006444,PRJNA63455,SAMN02338521,235436543,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495087,GSM1217507,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217507,seq-SDQ4564_DPY28_N2_Mxemb_ChIP_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198620,ChIP-Seq,42,585654006,PRJNA63455,SAMN02338530,370295875,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495088,GSM1217508,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217508,seq-SDQ4564_DPY28_N2_Mxemb_ChIP_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1163630,ChIP-Seq,50,2397530750,PRJNA63455,SAMN02315313,1650956865,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX466564,GSM1206393,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1206393,seq-SDQ0812_COH1_FEM2_AD_Input_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1163633,ChIP-Seq,50,919447300,PRJNA63455,SAMN02315312,578303023,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX466567,GSM1206396,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1206396,seq-SDQ0821_SCC1_FEM2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1163648,ChIP-Seq,50,919447300,PRJNA63455,SAMN02315261,578303035,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX466582,GSM1206411,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1206411,seq-SDQ3898_KLE2_FEM2_AD_Input_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1163650,ChIP-Seq,50,989816250,PRJNA63455,SAMN02315299,649370030,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX466584,GSM1206413,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1206413,seq-SDQ3898_KLE2_FEM2_AD_ChIP_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1163629,ChIP-Seq,42,450575454,PRJNA63455,SAMN02315304,549926090,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX466563,GSM1206392,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1206392,seq-SDQ0812_COH1_FEM2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1163631,ChIP-Seq,42,425714814,PRJNA63455,SAMN02315251,516374167,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX466565,GSM1206394,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1206394,seq-SDQ0812_COH1_FEM2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1163632,ChIP-Seq,50,711800000,PRJNA63455,SAMN02315252,449237163,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX466566,GSM1206395,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1206395,seq-SDQ0812_COH1_FEM2_AD_ChIP_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1163634,ChIP-Seq,50,1013062350,PRJNA63455,SAMN02315255,661457137,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX466568,GSM1206397,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1206397,seq-SDQ0821_SCC1_FEM2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1163647,ChIP-Seq,50,919447300,PRJNA63455,SAMN02315301,578303039,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX466581,GSM1206410,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1206410,seq-SDQ3898_KLE2_FEM2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1163649,ChIP-Seq,50,1162404500,PRJNA63455,SAMN02315305,798914185,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX466583,GSM1206412,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1206412,seq-SDQ3898_KLE2_FEM2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
