"order"	"DCC.id"	"Name"	"developmental.stage"	"antibody"	"target"	"strain"	"temperature"	"GEO"	"input_1"	"ip_1"	"name_1"	"genotype_1"	"strain_1"	"stage_1"	"sex_1"	"replicate_1"	"group_1"
30	"modENCODE_6218"	"seq-NBP170893 HTZ1 N2 Mxemb"	"Mixed Stage Embryos"	"HTZ-1_NBP170893"	"htz-1"	"N2"	"20 degree celsius"	"GSM1217409;GSM1217410;GSM1217411;GSM1217412"	"SRR1198522"	"SRR1198524"	"seq-NBP170893_HTZ1_N2_Mxemb_Input_Rep1;seq-NBP170893_HTZ1_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	30
30	"modENCODE_6218"	"seq-NBP170893 HTZ1 N2 Mxemb"	"Mixed Stage Embryos"	"HTZ-1_NBP170893"	"htz-1"	"N2"	"20 degree celsius"	"GSM1217409;GSM1217410;GSM1217411;GSM1217412"	"SRR1198523"	"SRR1198525"	"seq-NBP170893_HTZ1_N2_Mxemb_Input_Rep2;seq-NBP170893_HTZ1_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	30
31	"modENCODE_6213"	"seq-JL00006 ZFP1 N2 L3"	"L3 Larval Stage"	"JL00006_ZFP1"	"zfp-1"	"N2"	"20 degree celsius"	"GSM1217405;GSM1217406;GSM1217407;GSM1217408"	"SRR1198518"	"SRR1198520"	"seq-JL00006_ZFP1_N2_L3_Input_Rep1;seq-JL00006_ZFP1_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	31
31	"modENCODE_6213"	"seq-JL00006 ZFP1 N2 L3"	"L3 Larval Stage"	"JL00006_ZFP1"	"zfp-1"	"N2"	"20 degree celsius"	"GSM1217405;GSM1217406;GSM1217407;GSM1217408"	"SRR1198519"	"SRR1198521"	"seq-JL00006_ZFP1_N2_L3_Input_Rep2;seq-JL00006_ZFP1_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	31
32	"modENCODE_6208"	"seq-AB46540 NIgG N2 Mxemb"	"Mixed Stage Embryos"	"AB46540_NIgG"	"target:N/A (negative control IgG)"	"N2"	"20 degree celsius"	"GSM1195431;GSM1195432;GSM1195433;GSM1195434"	"SRR947594"	"SRR947596"	"seq-AB46540_NIgG_N2_Mxemb_Input_Rep1;seq-AB46540_NIgG_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	32
32	"modENCODE_6208"	"seq-AB46540 NIgG N2 Mxemb"	"Mixed Stage Embryos"	"AB46540_NIgG"	"target:N/A (negative control IgG)"	"N2"	"20 degree celsius"	"GSM1195431;GSM1195432;GSM1195433;GSM1195434"	"SRR947595"	"SRR947597"	"seq-AB46540_NIgG_N2_Mxemb_Input_Rep2;seq-AB46540_NIgG_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	32
33	"modENCODE_6023"	"seq-SDQ2946 HCP4 N2 Mxemb"	"Mixed Stage Embryos"	"HCP-4_SDQ2946"	"hcp-4"	"N2"	"20 degree celsius"	"GSM1206414;GSM1206415;GSM1206416;GSM1206417"	"SRR1163651"	"SRR1163653"	"seq-SDQ2946_HCP4_N2_Mxemb_Input_Rep1;seq-SDQ2946_HCP4_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	33
33	"modENCODE_6023"	"seq-SDQ2946 HCP4 N2 Mxemb"	"Mixed Stage Embryos"	"HCP-4_SDQ2946"	"hcp-4"	"N2"	"20 degree celsius"	"GSM1206414;GSM1206415;GSM1206416;GSM1206417"	"SRR1163652"	"SRR1163654"	"seq-SDQ2946_HCP4_N2_Mxemb_Input_Rep2;seq-SDQ2946_HCP4_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	33
34	"modENCODE_6021"	"seq-SDQ2966 MIS12 N2 Mxemb"	"Mixed Stage Embryos"	"MIS-12_SDQ2966"	"mis-12"	"N2"	"20 degree celsius"	"GSM1195427;GSM1195428;GSM1195429;GSM1195430"	"SRR947590"	"SRR947592"	"seq-SDQ2966_MIS12_N2_Mxemb_Input_Rep1;seq-SDQ2966_MIS12_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	34
34	"modENCODE_6021"	"seq-SDQ2966 MIS12 N2 Mxemb"	"Mixed Stage Embryos"	"MIS-12_SDQ2966"	"mis-12"	"N2"	"20 degree celsius"	"GSM1195427;GSM1195428;GSM1195429;GSM1195430"	"SRR947591"	"SRR947593"	"seq-SDQ2966_MIS12_N2_Mxemb_Input_Rep2;seq-SDQ2966_MIS12_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	34
35	"modENCODE_6008"	"seq-SDQ3898 KLE2 FEM2 AD"	"Germline containing young adult"	"CEC-1_SDQ2901"	"cec-1"	"DH245"	"20 degree celsius"	"GSM1206410;GSM1206411;GSM1206412;GSM1206413"	"SRR1163647"	"SRR1163649"	"seq-SDQ3898_KLE2_FEM2_AD_Input_Rep1;seq-SDQ3898_KLE2_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	35
35	"modENCODE_6008"	"seq-SDQ3898 KLE2 FEM2 AD"	"Germline containing young adult"	"CEC-1_SDQ2901"	"cec-1"	"DH245"	"20 degree celsius"	"GSM1206410;GSM1206411;GSM1206412;GSM1206413"	"SRR1163648"	"SRR1163650"	"seq-SDQ3898_KLE2_FEM2_AD_Input_Rep2;seq-SDQ3898_KLE2_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	35
36	"modENCODE_6007"	"seq-SDQ4625 T09A5.8 FEM2 AD"	"Germline containing young adult"	"T09A5.8_SDQ4625"	"T09A5.8"	"DH245"	"20 degree celsius"	"GSM1217397;GSM1217398;GSM1217399;GSM1217400"	"SRR1198510"	"SRR1198512"	"seq-SDQ4625_T09A5.8_FEM2_AD_Input_Rep1;seq-SDQ4625_T09A5.8_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	36
36	"modENCODE_6007"	"seq-SDQ4625 T09A5.8 FEM2 AD"	"Germline containing young adult"	"T09A5.8_SDQ4625"	"T09A5.8"	"DH245"	"20 degree celsius"	"GSM1217397;GSM1217398;GSM1217399;GSM1217400"	"SRR1198511"	"SRR1198513"	"seq-SDQ4625_T09A5.8_FEM2_AD_Input_Rep2;seq-SDQ4625_T09A5.8_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	36
37	"modENCODE_5987"	"seq-SDQ3528 NURF1 N2 L3"	"L3 Larval Stage"	"NURF-1_SDQ3528"	"nurf-1"	"N2"	"20 degree celsius"	"GSM1217389;GSM1217390;GSM1217391;GSM1217392"	"SRR1198502"	"SRR1198504"	"seq-SDQ3528_NURF1_N2_L3_Input_Rep1;seq-SDQ3528_NURF1_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	37
37	"modENCODE_5987"	"seq-SDQ3528 NURF1 N2 L3"	"L3 Larval Stage"	"NURF-1_SDQ3528"	"nurf-1"	"N2"	"20 degree celsius"	"GSM1217389;GSM1217390;GSM1217391;GSM1217392"	"SRR1198503"	"SRR1198505"	"seq-SDQ3528_NURF1_N2_L3_Input_Rep2;seq-SDQ3528_NURF1_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	37
38	"modENCODE_5986"	"seq-SDQ3525 NURF1 N2 L3"	"L3 Larval Stage"	"NURF-1_SDQ3525"	"nurf-1"	"N2"	"20 degree celsius"	"GSM1217385;GSM1217386;GSM1217387;GSM1217388"	"SRR1198498"	"SRR1198500"	"seq-SDQ3525_NURF1_N2_L3_Input_Rep1;seq-SDQ3525_NURF1_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	38
38	"modENCODE_5986"	"seq-SDQ3525 NURF1 N2 L3"	"L3 Larval Stage"	"NURF-1_SDQ3525"	"nurf-1"	"N2"	"20 degree celsius"	"GSM1217385;GSM1217386;GSM1217387;GSM1217388"	"SRR1198499"	"SRR1198501"	"seq-SDQ3525_NURF1_N2_L3_Input_Rep2;seq-SDQ3525_NURF1_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	38
39	"modENCODE_5985"	"seq-SDQ2940 NURF1 N2 L3"	"L3 Larval Stage"	"NURF-1_SDQ2940"	"nurf-1"	"N2"	"20 degree celsius"	"GSM1217381;GSM1217382;GSM1217383;GSM1217384"	"SRR1198494"	"SRR1198496"	"seq-SDQ2940_NURF1_N2_L3_Input_Rep1;seq-SDQ2940_NURF1_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	39
39	"modENCODE_5985"	"seq-SDQ2940 NURF1 N2 L3"	"L3 Larval Stage"	"NURF-1_SDQ2940"	"nurf-1"	"N2"	"20 degree celsius"	"GSM1217381;GSM1217382;GSM1217383;GSM1217384"	"SRR1198495"	"SRR1198497"	"seq-SDQ2940_NURF1_N2_L3_Input_Rep2;seq-SDQ2940_NURF1_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	39
40	"modENCODE_5980"	"seq-HM4077 LIN61 N2 L3"	"L3 Larval Stage"	"LIN-61_HM4077"	"lin-61"	"N2"	"20 degree celsius"	"GSM1217377;GSM1217378;GSM1217379;GSM1217380"	"SRR1198490"	"SRR1198492"	"seq-HM4077_LIN61_N2_L3_Input_Rep1;seq-HM4077_LIN61_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	40
40	"modENCODE_5980"	"seq-HM4077 LIN61 N2 L3"	"L3 Larval Stage"	"LIN-61_HM4077"	"lin-61"	"N2"	"20 degree celsius"	"GSM1217377;GSM1217378;GSM1217379;GSM1217380"	"SRR1198491"	"SRR1198493"	"seq-HM4077_LIN61_N2_L3_Input_Rep2;seq-HM4077_LIN61_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	40
41	"modENCODE_5979"	"seq-SDQ3520 LIN61 N2 L3"	"L3 Larval Stage"	"LIN-61_SDQ3520"	"lin-61"	"N2"	"20 degree celsius"	"GSM1195415;GSM1195416;GSM1195417;GSM1195418"	"SRR947578"	"SRR947580"	"seq-SDQ3520_LIN61_N2_L3_Input_Rep1;seq-SDQ3520_LIN61_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	41
41	"modENCODE_5979"	"seq-SDQ3520 LIN61 N2 L3"	"L3 Larval Stage"	"LIN-61_SDQ3520"	"lin-61"	"N2"	"20 degree celsius"	"GSM1195415;GSM1195416;GSM1195417;GSM1195418"	"SRR947579"	"SRR947581"	"seq-SDQ3520_LIN61_N2_L3_Input_Rep2;seq-SDQ3520_LIN61_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	41
42	"modENCODE_5976"	"seq-SDQ2340 HPL2 N2 L3"	"L3 Larval Stage"	"HPL-2_SDQ2340"	"hpl-2"	"N2"	"20 degree celsius"	"GSM1206406;GSM1206407;GSM1206408;GSM1206409"	"SRR1163643"	"SRR1163645"	"seq-SDQ2340_HPL2_N2_L3_Input_Rep1;seq-SDQ2340_HPL2_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	42
42	"modENCODE_5976"	"seq-SDQ2340 HPL2 N2 L3"	"L3 Larval Stage"	"HPL-2_SDQ2340"	"hpl-2"	"N2"	"20 degree celsius"	"GSM1206406;GSM1206407;GSM1206408;GSM1206409"	"SRR1163644"	"SRR1163646"	"seq-SDQ2340_HPL2_N2_L3_Input_Rep2;seq-SDQ2340_HPL2_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	42
43	"modENCODE_5975"	"seq-SDQ2342 LET418 N2 L3"	"L3 Larval Stage"	"LET-418_SDQ2342"	"let-418"	"N2"	"20 degree celsius"	"GSM1217373;GSM1217374;GSM1217375;GSM1217376"	"SRR1198486"	"SRR1198488"	"seq-SDQ2342_LET418_N2_L3_Input_Rep1;seq-SDQ2342_LET418_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	43
43	"modENCODE_5975"	"seq-SDQ2342 LET418 N2 L3"	"L3 Larval Stage"	"LET-418_SDQ2342"	"let-418"	"N2"	"20 degree celsius"	"GSM1217373;GSM1217374;GSM1217375;GSM1217376"	"SRR1198487"	"SRR1198489"	"seq-SDQ2342_LET418_N2_L3_Input_Rep2;seq-SDQ2342_LET418_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	43
44	"modENCODE_5974"	"seq-SDQ3861 LET418 N2 L3"	"L3 Larval Stage"	"LET-418_SDQ3861"	"let-418"	"N2"	"20 degree celsius"	"GSM1217369;GSM1217371;GSM1217372"	"SRR1198483"	"SRR1198484"	"seq-SDQ3861_LET418_N2_L3_Input_Rep1;seq-SDQ3861_LET418_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	44
44	"modENCODE_5974"	"seq-SDQ3861 LET418 N2 L3"	"L3 Larval Stage"	"LET-418_SDQ3861"	"let-418"	"N2"	"20 degree celsius"	"GSM1217369;GSM1217371;GSM1217372"	"SRR1198483"	"SRR1198484"	NA	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	44
45	"modENCODE_5973"	"seq-SDQ2354 HDA1 N2 L3"	"L3 Larval Stage"	"HDA-1_SDQ2354"	"hda-1"	"N2"	"20 degree celsius"	"GSM1217365;GSM1217366;GSM1217367;GSM1217368"	"SRR1198479"	"SRR1198481"	"seq-SDQ2354_HDA1_N2_L3_Input_Rep1;seq-SDQ2354_HDA1_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	45
45	"modENCODE_5973"	"seq-SDQ2354 HDA1 N2 L3"	"L3 Larval Stage"	"HDA-1_SDQ2354"	"hda-1"	"N2"	"20 degree celsius"	"GSM1217365;GSM1217366;GSM1217367;GSM1217368"	"SRR1198480"	"SRR1198482"	"seq-SDQ2354_HDA1_N2_L3_Input_Rep2;seq-SDQ2354_HDA1_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	45
47	"modENCODE_5245"	"seq-WA30534799 H3K4me1 FEM2 AD"	"Germline containing young adult"	"WA30534799_H3K4me1"	"H3K4me1"	"DH245"	"20 degree celsius"	"GSM1217349;GSM1217350;GSM1217351;GSM1217352"	"SRR1198463"	"SRR1198465"	"seq-WA30534799_H3K4me1_FEM2_AD_Input_Rep1;seq-WA30534799_H3K4me1_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	47
47	"modENCODE_5245"	"seq-WA30534799 H3K4me1 FEM2 AD"	"Germline containing young adult"	"WA30534799_H3K4me1"	"H3K4me1"	"DH245"	"20 degree celsius"	"GSM1217349;GSM1217350;GSM1217351;GSM1217352"	"SRR1198464"	"SRR1198466"	"seq-WA30534799_H3K4me1_FEM2_AD_Input_Rep2;seq-WA30534799_H3K4me1_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	47
48	"modENCODE_5233"	"seq-SDQ4068 MRG1 FEM2 AD"	"Germline containing young adult"	"MRG-1_SDQ4068"	"mrg-1"	"DH245"	"20 degree celsius"	"GSM1217335;GSM1217336;GSM1217337;GSM1217338"	"SRR1198450"	"SRR1198452"	"seq-SDQ4068_MRG1_FEM2_AD_Input_Rep1;seq-SDQ4068_MRG1_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	48
48	"modENCODE_5233"	"seq-SDQ4068 MRG1 FEM2 AD"	"Germline containing young adult"	"MRG-1_SDQ4068"	"mrg-1"	"DH245"	"20 degree celsius"	"GSM1217335;GSM1217336;GSM1217337;GSM1217338"	"SRR1198451"	"SRR1198453"	"seq-SDQ4068_MRG1_FEM2_AD_Input_Rep2;seq-SDQ4068_MRG1_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	48
49	"modENCODE_5231"	"seq-SDQ3989 ASH2 FEM2 AD"	"Germline containing young adult"	"ASH-2_SDQ3989"	"ash-2"	"DH245"	"20 degree celsius"	"GSM1217331;GSM1217332;GSM1217333;GSM1217334"	"SRR1198446"	"SRR1198448"	"seq-SDQ3989_ASH2_FEM2_AD_Input_Rep1;seq-SDQ3989_ASH2_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	49
49	"modENCODE_5231"	"seq-SDQ3989 ASH2 FEM2 AD"	"Germline containing young adult"	"ASH-2_SDQ3989"	"ash-2"	"DH245"	"20 degree celsius"	"GSM1217331;GSM1217332;GSM1217333;GSM1217334"	"SRR1198447"	"SRR1198449"	"seq-SDQ3989_ASH2_FEM2_AD_Input_Rep2;seq-SDQ3989_ASH2_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	49
50	"modENCODE_5230"	"seq-SDQ3972 COH3 FEM2 AD"	"Germline containing young adult"	"SDQ2357-AMA1"	"ama-1"	"WH223 [ALL]/ zyg-12"	"20 degree celsius"	"GSM1217327;GSM1217328;GSM1217329;GSM1217330"	"SRR1198442"	"SRR1198444"	"seq-SDQ3972_COH3_FEM2_AD_Input_Rep1;seq-SDQ3972_COH3_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	50
50	"modENCODE_5230"	"seq-SDQ3972 COH3 FEM2 AD"	"Germline containing young adult"	"SDQ2357-AMA1"	"ama-1"	"WH223 [ALL]/ zyg-12"	"20 degree celsius"	"GSM1217327;GSM1217328;GSM1217329;GSM1217330"	"SRR1198443"	"SRR1198445"	"seq-SDQ3972_COH3_FEM2_AD_Input_Rep2;seq-SDQ3972_COH3_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	50
51	"modENCODE_5227"	"seq-SDQ3965 ZIM1 FEM2 AD"	"Germline containing young adult"	"ZIM-1_SDQ3965"	"zim-1"	"DH245"	"20 degree celsius"	"GSM1217323;GSM1217324;GSM1217325;GSM1217326"	"SRR1198438"	"SRR1198440"	"seq-SDQ3965_ZIM1_FEM2_AD_Input_Rep1;seq-SDQ3965_ZIM1_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	51
51	"modENCODE_5227"	"seq-SDQ3965 ZIM1 FEM2 AD"	"Germline containing young adult"	"ZIM-1_SDQ3965"	"zim-1"	"DH245"	"20 degree celsius"	"GSM1217323;GSM1217324;GSM1217325;GSM1217326"	"SRR1198439"	"SRR1198441"	"seq-SDQ3965_ZIM1_FEM2_AD_Input_Rep2;seq-SDQ3965_ZIM1_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	51
52	"modENCODE_5225"	"seq-SDQ3956 ZHP3 FEM2 AD"	"Germline containing young adult"	"ZHP-3_SDQ3956"	"zhp-3"	"DH245"	"20 degree celsius"	"GSM1217319;GSM1217320;GSM1217321;GSM1217322"	"SRR1198434"	"SRR1198436"	"seq-SDQ3956_ZHP3_FEM2_AD_Input_Rep1;seq-SDQ3956_ZHP3_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	52
52	"modENCODE_5225"	"seq-SDQ3956 ZHP3 FEM2 AD"	"Germline containing young adult"	"ZHP-3_SDQ3956"	"zhp-3"	"DH245"	"20 degree celsius"	"GSM1217319;GSM1217320;GSM1217321;GSM1217322"	"SRR1198435"	"SRR1198437"	"seq-SDQ3956_ZHP3_FEM2_AD_Input_Rep2;seq-SDQ3956_ZHP3_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	52
53	"modENCODE_5224"	"seq-SDQ3953 REC8 FEM2 AD"	"Germline containing young adult"	"REC-8_SDQ3953"	"rec-8"	"DH245"	"20 degree celsius"	"GSM1217315;GSM1217316;GSM1217317;GSM1217318"	"SRR1198430"	"SRR1198432"	"seq-SDQ3953_REC8_FEM2_AD_Input_Rep1;seq-SDQ3953_REC8_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	53
53	"modENCODE_5224"	"seq-SDQ3953 REC8 FEM2 AD"	"Germline containing young adult"	"REC-8_SDQ3953"	"rec-8"	"DH245"	"20 degree celsius"	"GSM1217315;GSM1217316;GSM1217317;GSM1217318"	"SRR1198431"	"SRR1198433"	"seq-SDQ3953_REC8_FEM2_AD_Input_Rep2;seq-SDQ3953_REC8_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	53
54	"modENCODE_5223"	"seq-SDQ3949 ZIM3 FEM2 AD"	"Germline containing young adult"	"ZIM-3_SDQ3949"	"zim-3"	"DH245"	"20 degree celsius"	"GSM1217311;GSM1217312;GSM1217313;GSM1217314"	"SRR1198426"	"SRR1198428"	"seq-SDQ3949_ZIM3_FEM2_AD_Input_Rep1;seq-SDQ3949_ZIM3_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	54
54	"modENCODE_5223"	"seq-SDQ3949 ZIM3 FEM2 AD"	"Germline containing young adult"	"ZIM-3_SDQ3949"	"zim-3"	"DH245"	"20 degree celsius"	"GSM1217311;GSM1217312;GSM1217313;GSM1217314"	"SRR1198427"	"SRR1198429"	"seq-SDQ3949_ZIM3_FEM2_AD_Input_Rep2;seq-SDQ3949_ZIM3_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	54
55	"modENCODE_5222"	"seq-SDQ3948 COH3 FEM2 AD"	"Germline containing young adult"	"COH-3_SDQ3948"	"coh-3"	"DH245"	"20 degree celsius"	"GSM1217307;GSM1217308;GSM1217309;GSM1217310"	"SRR1198422"	"SRR1198424"	"seq-SDQ3948_COH3_FEM2_AD_Input_Rep1;seq-SDQ3948_COH3_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	55
55	"modENCODE_5222"	"seq-SDQ3948 COH3 FEM2 AD"	"Germline containing young adult"	"COH-3_SDQ3948"	"coh-3"	"DH245"	"20 degree celsius"	"GSM1217307;GSM1217308;GSM1217309;GSM1217310"	"SRR1198423"	"SRR1198425"	"seq-SDQ3948_COH3_FEM2_AD_Input_Rep2;seq-SDQ3948_COH3_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	55
56	"modENCODE_5220"	"seq-SDQ3942 KLE2 FEM2 AD"	"Germline containing young adult"	"KLE-2_SDQ3942"	"kle-2"	"DH245"	"20 degree celsius"	"GSM1217305;GSM1217306"	"SRR1198420"	"SRR1198421"	"seq-SDQ3942_KLE2_FEM2_AD_Input_Rep1;seq-SDQ3942_KLE2_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	56
57	"modENCODE_5219"	"seq-SDQ3927 MRG1 FEM2 AD"	"Germline containing young adult"	"SDQ3927-MRG1"	"mrg-1"	"DH245"	"20 degree celsius"	"GSM1217303;GSM1217304"	"SRR1198418"	"SRR1198419"	"seq-SDQ3927_MRG1_FEM2_AD_Input_Rep1;seq-SDQ3927_MRG1_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	57
58	"modENCODE_5218"	"seq-SDQ3925 ZHP3 FEM2 AD"	"Germline containing young adult"	"ZHP-3_SDQ3925"	"zhp-3"	"DH245"	"20 degree celsius"	"GSM1217299;GSM1217300;GSM1217301;GSM1217302"	"SRR1198414"	"SRR1198416"	"seq-SDQ3925_ZHP3_FEM2_AD_Input_Rep1;seq-SDQ3925_ZHP3_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	58
58	"modENCODE_5218"	"seq-SDQ3925 ZHP3 FEM2 AD"	"Germline containing young adult"	"ZHP-3_SDQ3925"	"zhp-3"	"DH245"	"20 degree celsius"	"GSM1217299;GSM1217300;GSM1217301;GSM1217302"	"SRR1198415"	"SRR1198417"	"seq-SDQ3925_ZHP3_FEM2_AD_Input_Rep2;seq-SDQ3925_ZHP3_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	58
60	"modENCODE_5214"	"seq-SDQ3907 CHD3 FEM2 AD"	"Germline containing young adult"	"CHD-3_SDQ3907"	"chd-3"	"DH245"	"20 degree celsius"	"GSM1217295;GSM1217296;GSM1217297;GSM1217298"	"SRR1198410"	"SRR1198412"	"seq-SDQ3907_CHD3_FEM2_AD_Input_Rep1;seq-SDQ3907_CHD3_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	60
60	"modENCODE_5214"	"seq-SDQ3907 CHD3 FEM2 AD"	"Germline containing young adult"	"CHD-3_SDQ3907"	"chd-3"	"DH245"	"20 degree celsius"	"GSM1217295;GSM1217296;GSM1217297;GSM1217298"	"SRR1198411"	"SRR1198413"	"seq-SDQ3907_CHD3_FEM2_AD_Input_Rep2;seq-SDQ3907_CHD3_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	60
