"order"	"DCC.id"	"Name"	"developmental.stage"	"antibody"	"target"	"strain"	"temperature"	"GEO"	"Input_SRR"	"IP_SRR"	"input_1"	"ip_1"	"name_1"	"genotype_1"	"strain_1"	"stage_1"	"sex_1"	"replicate_1"	"group_1"
24	"modENCODE_5155"	"seq-ab8898 H3K9me3 339901 N2 Eemb"	"Early Stage Embryos "	"AB8898 H3K9ME3:339901 "	"H3K9me3 "	"N2 "	"20 degree celsius "	"GSM1206340;GSM1206341;GSM1206342;GSM1206343"	""	""	"SRR1163578"	"SRR1163580"	"seq-ab8898_H3K9me3_339901_N2_Eemb_Input_Rep2;seq-ab8898_H3K9me3_339901_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	24
25	"modENCODE_5037"	"seq-AB8898 H3K9me3 339901 N2 L3"	"L3 Larval Stage "	"AB8898 H3K9ME3:339901 "	"H3K9me3 "	"N2 "	"20 degree celsius "	"GSM1206288;GSM1206289;GSM1206290;GSM1206291"	""	""	"SRR1163525"	"SRR1163527"	"seq-AB8898_H3K9me3:33990_N2_L3_Input_Rep1;seq-AB8898_H3K9me3:33990_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	25
25	"modENCODE_5037"	"seq-AB8898 H3K9me3 339901 N2 L3"	"L3 Larval Stage "	"AB8898 H3K9ME3:339901 "	"H3K9me3 "	"N2 "	"20 degree celsius "	"GSM1206288;GSM1206289;GSM1206290;GSM1206291"	""	""	"SRR1163526"	"SRR1163528"	"seq-AB8898_H3K9me3:33990_N2_L3_Input_Rep2;seq-AB8898_H3K9me3:33990_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	25
26	"modENCODE_5167"	"seq-ab9048 H3K36me1 206009 N2 Eemb"	"Early Stage Embryos "	"ab9048_H3K36me1:206009 "	"H3K36me1 "	"N2 "	"20 degree celsius "	"GSM1206372;GSM1206373;GSM1206374;GSM1206375"	""	""	"SRR1163609"	"SRR1163611"	"seq-ab9048_H3K36me1_206009_N2_Eemb_Input_Rep1;seq-ab9048_H3K36me1_206009_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	26
26	"modENCODE_5167"	"seq-ab9048 H3K36me1 206009 N2 Eemb"	"Early Stage Embryos "	"ab9048_H3K36me1:206009 "	"H3K36me1 "	"N2 "	"20 degree celsius "	"GSM1206372;GSM1206373;GSM1206374;GSM1206375"	""	""	"SRR1163610"	"SRR1163612"	"seq-ab9048_H3K36me1_206009_N2_Eemb_Input_Rep2;seq-ab9048_H3K36me1_206009_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	26
27	"modENCODE_5049"	"seq-ab9048 H3K36me1 206009 N2 L3"	"L3 Larval Stage "	"ab9048_H3K36me1:206009 "	"H3K36me1 "	"N2 "	"20 degree celsius "	"GSM1206320;GSM1206321;GSM1206322;GSM1206323"	""	""	"SRR1163557"	"SRR1163559"	"seq-ab9048_H3K36me1:206009_N2_L3_Input_Rep1;seq-ab9048_H3K36me1:206009_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	27
27	"modENCODE_5049"	"seq-ab9048 H3K36me1 206009 N2 L3"	"L3 Larval Stage "	"ab9048_H3K36me1:206009 "	"H3K36me1 "	"N2 "	"20 degree celsius "	"GSM1206320;GSM1206321;GSM1206322;GSM1206323"	""	""	"SRR1163558"	"SRR1163560"	"seq-ab9048_H3K36me1:206009_N2_L3_Input_Rep2;seq-ab9048_H3K36me1:206009_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	27
28	"modENCODE_6244"	"seq-Ab9048 H3K36me1 fem2 AD"	"Germline containing young adult "	"ab9048_H3K36me1:206009 "	"H3K36me1 "	"DH245 "	"20 degree celsius "	"GSM1217445;GSM1217446;GSM1217447;GSM1217448"	""	""	"SRR1198557"	"SRR1198559"	"seq-Ab9048_H3K36me1_fem2_AD_Input_Rep1;seq-Ab9048_H3K36me1_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	28
28	"modENCODE_6244"	"seq-Ab9048 H3K36me1 fem2 AD"	"Germline containing young adult "	"ab9048_H3K36me1:206009 "	"H3K36me1 "	"DH245 "	"20 degree celsius "	"GSM1217445;GSM1217446;GSM1217447;GSM1217448"	""	""	"SRR1198558"	"SRR1198560"	"seq-Ab9048_H3K36me1_fem2_AD_Input_Rep2;seq-Ab9048_H3K36me1_fem2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	28
29	"modENCODE_6210"	"seq-ab9051 H4K20me1 N2 Mxemb"	"Mixed Stage Embryos "	"ab9051_H4K20me1:104513 "	"H4K20me1 "	"N2 "	"20 degree celsius "	"GSM1195435;GSM1195436;GSM1195437;GSM1195438"	""	""	"SRR947598"	"SRR947600"	"seq-ab9051_H4K20me1_N2_Mxemb_Input_Rep1;seq-ab9051_H4K20me1_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	29
29	"modENCODE_6210"	"seq-ab9051 H4K20me1 N2 Mxemb"	"Mixed Stage Embryos "	"ab9051_H4K20me1:104513 "	"H4K20me1 "	"N2 "	"20 degree celsius "	"GSM1195435;GSM1195436;GSM1195437;GSM1195438"	""	""	"SRR947599"	"SRR947601"	"seq-ab9051_H4K20me1_N2_Mxemb_Input_Rep2;seq-ab9051_H4K20me1_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	29
30	"modENCODE_6211"	"seq-ab9051 H4K20me1 TY1072 Mxemb"	"Mixed Stage Embryos "	"ab9051_H4K20me1:104513 "	"H4K20me1 "	"TY1072 "	"20 degree celsius "	"GSM1217401;GSM1217402;GSM1217403;GSM1217404"	""	""	"SRR1198514"	"SRR1198516"	"seq-ab9051_H4K20me1_TY1072_Mxemb_Input_Rep1;seq-ab9051_H4K20me1_TY1072_Mxemb_ChIP_Rep1"	"her-1(e1520) V; sdc-2(y74) X"	"TY1072"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	30
30	"modENCODE_6211"	"seq-ab9051 H4K20me1 TY1072 Mxemb"	"Mixed Stage Embryos "	"ab9051_H4K20me1:104513 "	"H4K20me1 "	"TY1072 "	"20 degree celsius "	"GSM1217401;GSM1217402;GSM1217403;GSM1217404"	""	""	"SRR1198515"	"SRR1198517"	"seq-ab9051_H4K20me1_TY1072_Mxemb_Input_Rep2;seq-ab9051_H4K20me1_TY1072_Mxemb_ChIP_Rep2"	"her-1(e1520) V; sdc-2(y74) X"	"TY1072"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	30
32	"modENCODE_3564"	"seq-AR0144 H3 144 N2 L3"	"L3 Larval Stage "	"C. elegans AR0144_H3 rabbit serum "	"histone H3 "	"N2 "	"20 degree celsius "	"GSM1195383;GSM1195384;GSM1195385;GSM1195386"	""	""	"SRR1265810"	"SRR1265812"	"seq-AR0144_H3_144_N2_L3_Input_Rep1;seq-AR0144_H3_144_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	32
32	"modENCODE_3564"	"seq-AR0144 H3 144 N2 L3"	"L3 Larval Stage "	"C. elegans AR0144_H3 rabbit serum "	"histone H3 "	"N2 "	"20 degree celsius "	"GSM1195383;GSM1195384;GSM1195385;GSM1195386"	""	""	"SRR1265811"	"SRR1265813"	"seq-AR0144_H3_144_N2_L3_Input_Rep2;seq-AR0144_H3_144_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	32
34	"modENCODE_5165"	"seq-HK00001 H3K36me3 13C9 N2 Eemb"	"Early Stage Embryos "	"HK00001 H3K36me3:13C9 "	"H3K36me3 "	"N2 "	"20 degree celsius "	"GSM1217267;GSM1217268;GSM1217269;GSM1217270"	""	""	"SRR1198384"	"SRR1198386"	"seq-HK00001_H3K36me3_13C9_N2_Eemb_Input_Rep1;seq-HK00001_H3K36me3_13C9_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	34
34	"modENCODE_5165"	"seq-HK00001 H3K36me3 13C9 N2 Eemb"	"Early Stage Embryos "	"HK00001 H3K36me3:13C9 "	"H3K36me3 "	"N2 "	"20 degree celsius "	"GSM1217267;GSM1217268;GSM1217269;GSM1217270"	""	""	"SRR1198385"	"SRR1198387"	"seq-HK00001_H3K36me3_13C9_N2_Eemb_Input_Rep2;seq-HK00001_H3K36me3_13C9_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	34
35	"modENCODE_6256"	"seq-HK00001-H3K36me3 13C9 fem2 AD"	"Germline containing young adult "	"HK00001 H3K36me3:13C9 "	"H3K36me3 "	"DH245 "	"20 degree celsius "	"GSM1217461;GSM1217462;GSM1217463;GSM1217464"	""	""	"SRR1198573"	"SRR1198575"	"seq-HK00001-H3K36me3_13C9_fem2_AD_Input_Rep1;seq-HK00001-H3K36me3_13C9_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	35
35	"modENCODE_6256"	"seq-HK00001-H3K36me3 13C9 fem2 AD"	"Germline containing young adult "	"HK00001 H3K36me3:13C9 "	"H3K36me3 "	"DH245 "	"20 degree celsius "	"GSM1217461;GSM1217462;GSM1217463;GSM1217464"	""	""	"SRR1198574"	"SRR1198576"	"seq-HK00001-H3K36me3_13C9_fem2_AD_Input_Rep2;seq-HK00001-H3K36me3_13C9_fem2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	35
36	"modENCODE_5161"	"seq-HK00008 H3K9me2 6D11 N2 Eemb"	"Early Stage Embryos "	"HK00008_H3K9me2:6D11 "	"H3K9me2 "	"N2 "	"20 degree celsius "	"GSM1206356;GSM1206357;GSM1206358;GSM1206359"	""	""	"SRR1163593"	"SRR1163595"	"seq-HK00008_H3K9me2_6D11_N2_Eemb_Input_Rep1;seq-HK00008_H3K9me2_6D11_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	36
36	"modENCODE_5161"	"seq-HK00008 H3K9me2 6D11 N2 Eemb"	"Early Stage Embryos "	"HK00008_H3K9me2:6D11 "	"H3K9me2 "	"N2 "	"20 degree celsius "	"GSM1206356;GSM1206357;GSM1206358;GSM1206359"	""	""	"SRR1163594"	"SRR1163596"	"seq-HK00008_H3K9me2_6D11_N2_Eemb_Input_Rep2;seq-HK00008_H3K9me2_6D11_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	36
37	"modENCODE_5050"	"seq-HK00008 H3K9me2 6D11 N2 L3"	"L3 Larval Stage "	"HK00008_H3K9me2:6D11 "	"H3K9me2 "	"N2 "	"20 degree celsius "	"GSM1206324;GSM1206325;GSM1206326;GSM1206327"	""	""	"SRR1163561"	"SRR1163563"	"seq-HK00008_H3K9me2:6D11_N2_L3_Input_Rep1;seq-HK00008_H3K9me2:6D11_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	37
37	"modENCODE_5050"	"seq-HK00008 H3K9me2 6D11 N2 L3"	"L3 Larval Stage "	"HK00008_H3K9me2:6D11 "	"H3K9me2 "	"N2 "	"20 degree celsius "	"GSM1206324;GSM1206325;GSM1206326;GSM1206327"	""	""	"SRR1163562"	"SRR1163564"	"seq-HK00008_H3K9me2:6D11_N2_L3_Input_Rep2;seq-HK00008_H3K9me2:6D11_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	37
38	"modENCODE_5153"	"seq-HK00009 H3K9me3 2F3 N2 Eemb"	"Early Stage Embryos "	"HK00009 H3K9me3:2F3 "	"H3K9me3 "	"N2 "	"20 degree celsius "	"GSM1195407;GSM1195408;GSM1195409;GSM1195410"	""	""	"SRR947570"	"SRR947572"	"seq-HK00009_H3K9me3_2F3_N2_Eemb_Input_Rep1;seq-HK00009_H3K9me3_2F3_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	38
38	"modENCODE_5153"	"seq-HK00009 H3K9me3 2F3 N2 Eemb"	"Early Stage Embryos "	"HK00009 H3K9me3:2F3 "	"H3K9me3 "	"N2 "	"20 degree celsius "	"GSM1195407;GSM1195408;GSM1195409;GSM1195410"	""	""	"SRR947571"	"SRR947573"	"seq-HK00009_H3K9me3_2F3_N2_Eemb_Input_Rep2;seq-HK00009_H3K9me3_2F3_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	38
39	"modENCODE_5040"	"seq-HK00009 H3K9me3 2F3 N2 L3"	"L3 Larval Stage "	"HK00009 H3K9me3:2F3 "	"H3K9me3 "	"N2 "	"20 degree celsius "	"GSM1206292;GSM1206293;GSM1206294;GSM1206295"	""	""	"SRR1163529"	"SRR1163531"	"seq-HK00009_H3K9me3:2F3_N2_L3_Input_Rep1;seq-HK00009_H3K9me3:2F3_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	39
39	"modENCODE_5040"	"seq-HK00009 H3K9me3 2F3 N2 L3"	"L3 Larval Stage "	"HK00009 H3K9me3:2F3 "	"H3K9me3 "	"N2 "	"20 degree celsius "	"GSM1206292;GSM1206293;GSM1206294;GSM1206295"	""	""	"SRR1163530"	"SRR1163532"	"seq-HK00009_H3K9me3:2F3_N2_L3_Input_Rep2;seq-HK00009_H3K9me3:2F3_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	39
40	"modENCODE_5164"	"seq-HK00012 H3K36me2 2C3 N2 Eemb"	"Early Stage Embryos "	"HK00012_H3K36me2:2C3 "	"H3K36me3 "	"N2 "	"20 degree celsius "	"GSM1217263;GSM1217264;GSM1217265;GSM1217266"	""	""	"SRR1198380"	"SRR1198382"	"seq-HK00012_H3K36me2_2C3_N2_Eemb_Input_Rep1;seq-HK00012_H3K36me2_2C3_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	40
40	"modENCODE_5164"	"seq-HK00012 H3K36me2 2C3 N2 Eemb"	"Early Stage Embryos "	"HK00012_H3K36me2:2C3 "	"H3K36me3 "	"N2 "	"20 degree celsius "	"GSM1217263;GSM1217264;GSM1217265;GSM1217266"	""	""	"SRR1198381"	"SRR1198383"	"seq-HK00012_H3K36me2_2C3_N2_Eemb_Input_Rep2;seq-HK00012_H3K36me2_2C3_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	40
41	"modENCODE_5041"	"seq-HK00012 H3K36me2 2C3 N2 L3"	"L3 Larval Stage "	"HK00012_H3K36me2:2C3 "	"H3K36me3 "	"N2 "	"20 degree celsius "	"GSM1206296;GSM1206297;GSM1206298;GSM1206299"	""	""	"SRR1163533"	"SRR1163535"	"seq-HK00012_H3K36me2:2C3_N2_L3_Input_Rep1;seq-HK00012_H3K36me2:2C3_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	41
41	"modENCODE_5041"	"seq-HK00012 H3K36me2 2C3 N2 L3"	"L3 Larval Stage "	"HK00012_H3K36me2:2C3 "	"H3K36me3 "	"N2 "	"20 degree celsius "	"GSM1206296;GSM1206297;GSM1206298;GSM1206299"	""	""	"SRR1163534"	"SRR1163536"	"seq-HK00012_H3K36me2:2C3_N2_L3_Input_Rep2;seq-HK00012_H3K36me2:2C3_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	41
42	"modENCODE_5163"	"seq-HK00013 H3K27me3 1E7 N2 Eemb"	"Early Stage Embryos "	"HK00013 H3K27me3:1E7:JL:1 "	"H3K27me3 "	"N2 "	"20 degree celsius "	"GSM1206364;GSM1206365;GSM1206366;GSM1206367"	""	""	"SRR1163601"	"SRR1163603"	"seq-HK00013_H3K27me3_1E7_N2_Eemb_Input_Rep1;seq-HK00013_H3K27me3_1E7_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	42
42	"modENCODE_5163"	"seq-HK00013 H3K27me3 1E7 N2 Eemb"	"Early Stage Embryos "	"HK00013 H3K27me3:1E7:JL:1 "	"H3K27me3 "	"N2 "	"20 degree celsius "	"GSM1206364;GSM1206365;GSM1206366;GSM1206367"	""	""	"SRR1163602"	"SRR1163604"	"seq-HK00013_H3K27me3_1E7_N2_Eemb_Input_Rep2;seq-HK00013_H3K27me3_1E7_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	42
44	"modENCODE_6009"	"seq-HK72A9 H4K8ac FEM2 AD"	"Germline containing young adult "	"HK_H4K8ac_72A9 "	"H4K8ac "	"DH245 "	"20 degree celsius "	"GSM1195423;GSM1195424;GSM1195425;GSM1195426"	""	""	"SRR947586"	"SRR947588"	"seq-HK72A9_H4K8ac_FEM2_AD_Input_Rep1;seq-HK72A9_H4K8ac_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	44
44	"modENCODE_6009"	"seq-HK72A9 H4K8ac FEM2 AD"	"Germline containing young adult "	"HK_H4K8ac_72A9 "	"H4K8ac "	"DH245 "	"20 degree celsius "	"GSM1195423;GSM1195424;GSM1195425;GSM1195426"	""	""	"SRR947587"	"SRR947589"	"seq-HK72A9_H4K8ac_FEM2_AD_Input_Rep2;seq-HK72A9_H4K8ac_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	44
46	"modENCODE_5151"	"seq-MP07355 H3K23ac 27133 N2 Eemb"	"Early Stage Embryos "	"MP07355-H3K23ac-27133"	"his-2"	"N2 "	"20 degree celsius "	"GSM1206332;GSM1206333;GSM1206334;GSM1206335"	""	""	"SRR1163569"	"SRR1163571"	"seq-MP07355_H3K23ac_27133_N2_Eemb_Input_Rep1;seq-MP07355_H3K23ac_27133_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	46
46	"modENCODE_5151"	"seq-MP07355 H3K23ac 27133 N2 Eemb"	"Early Stage Embryos "	"MP07355-H3K23ac-27133"	"his-2"	"N2 "	"20 degree celsius "	"GSM1206332;GSM1206333;GSM1206334;GSM1206335"	""	""	"SRR1163570"	"SRR1163572"	"seq-MP07355_H3K23ac_27133_N2_Eemb_Input_Rep2;seq-MP07355_H3K23ac_27133_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	46
47	"modENCODE_5043"	"seq-NB211254 H3K36ac N2 L3"	"L3 Larval Stage "	"H3K36ac_NB211254 "	"H3K36Ac "	"N2 "	"20 degree celsius "	"GSM1206300;GSM1206301;GSM1206302;GSM1206303"	""	""	"SRR1163537"	"SRR1163539"	"seq-NB211254_H3K36ac_N2_L3_Input_Rep1;seq-NB211254_H3K36ac_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	47
47	"modENCODE_5043"	"seq-NB211254 H3K36ac N2 L3"	"L3 Larval Stage "	"H3K36ac_NB211254 "	"H3K36Ac "	"N2 "	"20 degree celsius "	"GSM1206300;GSM1206301;GSM1206302;GSM1206303"	""	""	"SRR1163538"	"SRR1163540"	"seq-NB211254_H3K36ac_N2_L3_Input_Rep2;seq-NB211254_H3K36ac_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	47
48	"modENCODE_3916"	"seq-SDQ0801 HIM17 FEM2 AD"	"Germline containing young adult "	"HIM-17_SDQ0801"	"him-17"	"DH245 "	"20 degree celsius "	"GSM1217235;GSM1217236;GSM1217237;GSM1217238"	""	""	"SRR1198355"	"SRR1198357"	"seq-SDQ0801_HIM17_FEM2_AD_Input_Rep1;seq-SDQ0801_HIM17_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	48
48	"modENCODE_3916"	"seq-SDQ0801 HIM17 FEM2 AD"	"Germline containing young adult "	"HIM-17_SDQ0801"	"him-17"	"DH245 "	"20 degree celsius "	"GSM1217235;GSM1217236;GSM1217237;GSM1217238"	""	""	"SRR1198356"	"SRR1198358"	"seq-SDQ0801_HIM17_FEM2_AD_Input_Rep2;seq-SDQ0801_HIM17_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	48
49	"modENCODE_5199"	"seq-SDQ2972 HIM8 FEM2 AD"	"Germline containing young adult "	"HIM-8_SDQ2972"	"him-8"	"DH245 "	"20 degree celsius "	"GSM1206402;GSM1206403;GSM1206404;GSM1206405"	""	""	"SRR1163639"	"SRR1163641"	"seq-SDQ2972_HIM8_FEM2_AD_Input_Rep1;seq-SDQ2972_HIM8_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	49
49	"modENCODE_5199"	"seq-SDQ2972 HIM8 FEM2 AD"	"Germline containing young adult "	"HIM-8_SDQ2972"	"him-8"	"DH245 "	"20 degree celsius "	"GSM1206402;GSM1206403;GSM1206404;GSM1206405"	""	""	"SRR1163640"	"SRR1163642"	"seq-SDQ2972_HIM8_FEM2_AD_Input_Rep2;seq-SDQ2972_HIM8_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	49
50	"modENCODE_5236"	"seq-SDQ4498 HIM3 FEM2 AD"	"Germline containing young adult "	"HIM-3_SDQ4498"	"him-3"	"DH245 "	"20 degree celsius "	"GSM1217339;GSM1217340"	""	""	"SRR1198454"	"SRR1198455"	"seq-SDQ4498_HIM3_FEM2_AD_Input_Rep1;seq-SDQ4498_HIM3_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	50
51	"modENCODE_6291"	"seq-SDQ4585 ASH2 N2 Mxemb"	"Mixed Stage Embryos "	"ASH-2_SDQ4585"	"ash-2"	"N2 "	"20 degree celsius "	"GSM1217509;GSM1217510;GSM1217511;GSM1217512"	""	""	"SRR1198621"	"SRR1198623"	"seq-SDQ4585_ASH2_N2_Mxemb_Input_Rep1;seq-SDQ4585_ASH2_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	51
51	"modENCODE_6291"	"seq-SDQ4585 ASH2 N2 Mxemb"	"Mixed Stage Embryos "	"ASH-2_SDQ4585"	"ash-2"	"N2 "	"20 degree celsius "	"GSM1217509;GSM1217510;GSM1217511;GSM1217512"	""	""	"SRR1198622"	"SRR1198624"	"seq-SDQ4585_ASH2_N2_Mxemb_Input_Rep2;seq-SDQ4585_ASH2_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	51
52	"modENCODE_5240"	"seq-SDQ4713 HIM3 FEM2 AD"	"Germline containing young adult "	"HIM-3_SDQ4713"	"him-3"	"DH245 "	"20 degree celsius "	"GSM1217341;GSM1217342;GSM1217343;GSM1217344"	""	""	"SRR1198456"	"SRR1198458"	"seq-SDQ4713_HIM3_FEM2_AD_Input_Rep1;seq-SDQ4713_HIM3_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	52
52	"modENCODE_5240"	"seq-SDQ4713 HIM3 FEM2 AD"	"Germline containing young adult "	"HIM-3_SDQ4713"	"him-3"	"DH245 "	"20 degree celsius "	"GSM1217341;GSM1217342;GSM1217343;GSM1217344"	""	""	"SRR1198457"	"SRR1198458"	"seq-SDQ4713_HIM3_FEM2_AD_Input_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	52
53	"modENCODE_5154"	"seq-UP07442 H3K9me3 DAM1411287 N2 Eemb 1 A Eemb14A"	"Early Stage Embryos "	"UP07442 H3K9ME3:DAM1411287 "	"H3K9me3 "	"N2 "	"20 degree celsius "	"GSM1217255;GSM1217256;GSM1217257;GSM1217258"	""	""	"SRR1198372"	"SRR1198374"	"seq-UP07442_H3K9me3_DAM1411287_N2_Eemb_Input_Rep1;seq-UP07442_H3K9me3_DAM1411287_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite"	"rep1"	53
53	"modENCODE_5154"	"seq-UP07442 H3K9me3 DAM1411287 N2 Eemb 1 A Eemb14A"	"Early Stage Embryos "	"UP07442 H3K9ME3:DAM1411287 "	"H3K9me3 "	"N2 "	"20 degree celsius "	"GSM1217255;GSM1217256;GSM1217257;GSM1217258"	""	""	"SRR1198373"	"SRR1198375"	"seq-UP07442_H3K9me3_DAM1411287_N2_Eemb_Input_Rep2;seq-UP07442_H3K9me3_DAM1411287_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite"	"rep2"	53
54	"modENCODE_5160"	"seq-UP07448 H3K27me1 24439 N2 Eemb"	"Early Stage Embryos "	"UP07448_H3K27me1:24439 "	"H3K27me1 "	"N2 "	"20 degree celsius "	"GSM1206352;GSM1206353;GSM1206354;GSM1206355"	""	""	"SRR1163589"	"SRR1163591"	"seq-UP07448_H3K27me1_24439_N2_Eemb_Input_Rep1;seq-UP07448_H3K27me1_24439_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	54
54	"modENCODE_5160"	"seq-UP07448 H3K27me1 24439 N2 Eemb"	"Early Stage Embryos "	"UP07448_H3K27me1:24439 "	"H3K27me1 "	"N2 "	"20 degree celsius "	"GSM1206352;GSM1206353;GSM1206354;GSM1206355"	""	""	"SRR1163590"	"SRR1163592"	"seq-UP07448_H3K27me1_24439_N2_Eemb_Input_Rep2;seq-UP07448_H3K27me1_24439_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	54
